03-07 23:05:44.498  4046  4046 I DEBUG LOG: [03-07 23:05:44.498] [jni_protocol.cpp] [Java_com_veryfit_multi_nativeprotocol_Protocol_WriteJsonData] [line 612] app send protocol evt:5018(VBUS_EVT_FUNC_V3_GET_ALARM)
03-07 23:05:44.503  4046  4046 I DEBUG LOG: [03-07 23:05:44.503] [protocol_v3_queue.c] [protocol_v3_queue_write_ex] [line 360] free ptr:tmp & queue_data
03-07 23:05:44.503  4046  4046 I DEBUG LOG: [03-07 23:05:44.503] [protocol_v3_queue.c] [protocol_v3_queue_write_ex] [line 362] v3 protocol add queue cmd id=0xF nseq=0x124 send queue cout=1
03-07 23:05:44.503  4046  4046 I DEBUG LOG: [03-07 23:05:44.503] [protocol_v3_queue.c] [send_packet] [line 193] v3 protocol send packet cmd id=0xF nseq=0x124
03-07 23:05:44.503  4046  4046 I DEBUG LOG: [03-07 23:05:44.503] [protocol_v3.c] [process_tx_buff] [line 88] v3 protocol write complete
03-07 23:05:44.503  4046  4046 I DEBUG LOG: [03-07 23:05:44.503] [protocol_v3.c] [process_tx_buff] [line 102] send data buff length:14,offset:0
03-07 23:05:44.503  4046  4046 I DEBUG LOG: [03-07 23:05:44.503] [protocol.c] [protocol_write_data] [line 235]   TX : 33 DA AD DA AD 01 0C 00 0F 00 24 01 00 28 18 
03-07 23:05:44.503  4046  4046 I DEBUG LOG: [03-07 23:05:44.503] [jni_protocol.cpp] [jni_notice_app_tx_data] [line 345] jni send tx data to app data len:15
03-07 23:05:44.504  4046  4046 I DEBUG LOG: [03-07 23:05:44.504] [protocol_v3_queue.c] [send_packet] [line 208] v3 write data rel:0,free send buff
03-07 23:05:44.504  4046  4046 I DEBUG LOG: [03-07 23:05:44.504] [protocol_v3_queue.c] [process_queue] [line 265] free queue_data
03-07 23:05:45.501  4046  5272 I DEBUG LOG: [03-07 23:05:45.501] [protocol_v3.c] [process_tx_buff] [line 88] v3 protocol write complete
03-07 23:05:45.501  4046  5272 I DEBUG LOG: [03-07 23:05:45.501] [protocol_v3.c] [process_tx_buff] [line 102] send data buff length:14,offset:14
03-07 23:05:45.501  4046  5272 I DEBUG LOG: [03-07 23:05:45.501] [protocol_v3.c] [send_end] [line 67] protocol cmd id:0xF nseq:0x124 send end
